route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
38,G2511L_F3,G2511L_F3_038-02_24,San Alberto,0,038-02,385
38,G2511L_F3,G2511L_F3_038-02_25,Paseo del Parque,1,038-02,386
38,G2511L_F3,G2511L_F3_038-02_26,San Alberto,0,038-02,385
38,G2511L_F3,G2511L_F3_038-02_27,Paseo del Parque,1,038-02,386
38,G2511L_F3,G2511L_F3_038-02_28,San Alberto,0,038-02,385
40,G2511L_F3,G2511L_F3_040-01_2,Pso. Farola,1,040-01,402
40,G2511L_F3,G2511L_F3_040-01_3,Sacaba Beach,0,040-01,401
40,G2511L_F3,G2511L_F3_040-01_4,Pso. Farola,1,040-01,402
40,G2511L_F3,G2511L_F3_040-01_5,Sacaba Beach,0,040-01,401
40,G2511L_F3,G2511L_F3_040-01_6,Pso. Farola,1,040-01,402
40,G2511L_F3,G2511L_F3_040-01_7,Sacaba Beach,0,040-01,401
40,G2511L_F3,G2511L_F3_040-01_8,Pso. Farola,1,040-01,402
40,G2511L_F3,G2511L_F3_040-01_9,Sacaba Beach,0,040-01,401
40,G2511L_F3,G2511L_F3_040-01_10,Pso. Farola,1,040-01,402
40,G2511L_F3,G2511L_F3_040-01_11,Sacaba Beach,0,040-01,401
40,G2511L_F3,G2511L_F3_040-01_12,Pso. Farola,1,040-01,402
40,G2511L_F3,G2511L_F3_040-01_13,Sacaba Beach,0,040-01,401
40,G2511L_F3,G2511L_F3_040-01_14,Pso. Farola,1,040-01,402
40,G2511L_F3,G2511L_F3_040-01_15,Sacaba Beach,0,040-01,401
40,G2511L_F3,G2511L_F3_040-01_16,Pso. Farola,1,040-01,402
40,G2511L_F3,G2511L_F3_040-01_17,Sacaba Beach,0,040-01,401
40,G2511L_F3,G2511L_F3_040-01_18,Pso. Farola,1,040-01,402
40,G2511L_F3,G2511L_F3_040-01_19,Sacaba Beach,0,040-01,401
40,G2511L_F3,G2511L_F3_040-01_20,Pso. Farola,1,040-01,402
40,G2511L_F3,G2511L_F3_040-01_21,Sacaba Beach,0,040-01,401
40,G2511L_F3,G2511L_F3_040-01_22,Pso. Farola,1,040-01,402
40,G2511L_F3,G2511L_F3_040-01_23,Sacaba Beach,0,040-01,401
40,G2511L_F3,G2511L_F3_040-01_24,Pso. Farola,1,040-01,402
40,G2511L_F3,G2511L_F3_040-01_25,Sacaba Beach,0,040-01,401
40,G2511L_F3,G2511L_F3_040-01_26,Pso. Farola,1,040-01,402
40,G2511L_F3,G2511L_F3_040-01_27,Sacaba Beach,0,040-01,401
40,G2511L_F3,G2511L_F3_040-01_28,Pso. Farola,1,040-01,402
40,G2511L_F3,G2511L_F3_040-01_29,Sacaba Beach,0,040-01,401
40,G2511L_F3,G2511L_F3_040-01_30,Pso. Farola,1,040-01,402
40,G2511L_F3,G2511L_F3_040-01_31,Sacaba Beach,0,040-01,401
11,G2511L_F3,G2511L_F3_041-01_2,El Palo (P.Virginia),0,041-01,113
11,G2511L_F3,G2511L_F3_041-01_3,Universidad,1,041-01,114
11,G2511L_F3,G2511L_F3_041-01_4,El Palo (P.Virginia),0,041-01,113
